"channel_id","title","description","custom_url","published_at","thumbnail","topic_id","keyword","banner","upload_list","total_view","subscriber","video_count","latest30_views","latest30_likes","latest30_comments","rank","participation_rate","activity_rate","avg_views","avg_likes","avg_comments","like_per_view","comment_per_view","channel_activity","channel_wordcloud"
"UCiwQRG2sCcfjKkgxMEdJGPg","엠뚜루마뚜루 : MBC 공식 종합 채널","MBC의 🔥HOT🔥한 영상을 
내맘대로ㅡ 편하게ㅡ ! 
휘뚜루 마뚜루 즐길 수 있는 채널!
ᕕ( ᐛ )ᕗ  엠뚜루마뚜루 ᕕ( ᐛ )ᕗ","@mbc_officialchannel","2020-09-21 05:14:01.912391","https://yt3.ggpht.com/ytc/AGIKgqPOreSbM4cigQQzxQSXgLcr9tuG4L2pKfRzY9Vl=s88-c-k-c0x00ffffff-no-rj","[40, 42, 45]","엠뚜루마뚜루","https://yt3.googleusercontent.com/KZq6v5ZcA61bhkd95qnUmf237GF8qRsbuJdZG2xFJsw1mx7S4bFfRkfjeENje9uziLudE4Yiuw","UUiwQRG2sCcfjKkgxMEdJGPg","3337529798","1900000","5841","1791964","17669","1138","gold","1.05","3.14","59732","588","37","1:101","1:1614","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/10c9af57-2c37-4709-2194-12a461e79800/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/39ae0ccd-0c5d-4493-564e-77abc9e7e300/public"
"UC9ZLv1m7QDLv991X1-p50AA","보물섬","아룡하세요~~ 허잇👋🏻 매번 다양하고 새로운 웃음을 시도하는 삼인조 유머 크리에이터 🏝보물섬🏝입니다😜

Hellow~~ huh it👋🏻 We are three-member humor creator 🏝Treasure Island🏝 who always tries various and new laugh😜

비즈니스 문의 📩 : bomulsum@sandbox.co.kr","@bomulsum_g","2012-11-14 13:37:53","https://yt3.ggpht.com/YzeHf0KXn6poEyGDl3gFXe329ZzwwsuyxSHlSshk4RR4D15x5vs9wFFXeRHptmFRB9Pf8OnnOFI=s88-c-k-c0x00ffffff-no-rj","[40, 42, 46]","보물섬 개그유튜버 개그채널 코미디 코미디채널 예능 참교육 몰카 몰래카메라 콩트 꽁트 개그 웃음 즐거움 개그유튜브 코미디유튜브","https://yt3.googleusercontent.com/6gik6f5ETlnzsK78xZsEEtCl13KIlaiyKZVWbaSaR5qNXf4mzSVmF-0gf4JN4ewG203Ls0f0wrU","UU9ZLv1m7QDLv991X1-p50AA","1545673910","1770000","625","11864775","199608","8791","gold","1.76","22.34","395492","6653","293","1:59","1:1349","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/8fdef63e-f004-446f-3ddf-74defb297200/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/49e8f126-5360-4376-42a2-7b5165502800/public"
"UCmLiSrat4HW2k07ahKEJo4w","크림히어로즈","안녕하세요. 크림히어로즈입니다. 
고양이와 함께 귀엽고 따뜻한 세상을 만들어 가고 싶어요.","@creamheros","2017-01-17 06:01:38","https://yt3.ggpht.com/NYqzhjbY6EYcolCeLPgieC1Kj4p40ihw37blsuucCMN1M8ow6t0jg97frhDNZjesv4p6-5N8=s88-c-k-c0x00ffffff-no-rj","[46, 51]","","https://lh3.googleusercontent.com/5q_zhj4Vk_MzsE1Vzz0EJA9Tj5mdnuRMU7xYyKHeUUNsekKS_qDiNRBl55TD0jPeLzmPaYV5nTY","UUmLiSrat4HW2k07ahKEJo4w","1640196741","3780000","1087","9675578","0","2652","gold","0.03","8.53","322519","0","88","","1:3664","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/60b8df64-cf56-4d21-1476-933cf23bc900/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/62bd1b29-1d50-4619-bf03-6616bce7f200/public"
"UCwcsDWGip6vtiZyCnvDoClQ","Kittisaurus","","@kittisaurus","2019-10-04 08:41:18","https://yt3.ggpht.com/ytc/AGIKgqMurU9avs7fsV7xN28KyZxzXNEEp1fZIHw5dY4VMA=s88-c-k-c0x00ffffff-no-rj","[46, 51]","cat kitty kitten ""cat logic"" ""cat fail"" ""claire luvcat"" ""funny cat"" compilation ""tom and jerry"" kittisaurus challenge vs react prank TT COCO MOMO CHUCHU LULU LALA DD DODO TOTO NANA","https://yt3.googleusercontent.com/aaU1dOXXbQh8UQhvsQxrBaJ3o25CsDzyjKVTY5yWZE8n6zQa4az2lo4GvbIAaEwedGDD-igJtgE","UUwcsDWGip6vtiZyCnvDoClQ","595869783","2840000","178","28541364","791267","31775","gold","2.88","33.5","951378","26375","1059","1:36","1:898","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/fadd668e-3599-477d-0fd3-481c7d54e900/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/d012f378-0a7a-47e9-4f2d-5c287f5ea400/public"
"UC3PSZivQbIegrfavj4fmgQQ","[THE SOY]루퐁이네","안녕하세요
쌈바요정 루디씨와 옭옭쟁이 퐁키의 유튜브채널입니다.

루디 RUDY (female) / 3.8kg / Pomeranian / Birthdate: 2015/03/10
퐁키 PONGKI (female) / 1.6kg / Pomeranian / Birthdate: 2015/05/28




THE SOY store- https://smartstore.naver.com/thesoy

Instagram- https://www.instagram.com/thesoy_yoonso/

Facebook- https://www.facebook.com/thesoythesoythesoy","@rupong","2017-10-11 07:44:33","https://yt3.ggpht.com/ytc/AGIKgqOI4adUHBAD-rbEx1km4-V9A_g-TLtt7K_7h8FX9A=s88-c-k-c0x00ffffff-no-rj","[46, 51]","포메곰돌이컷 폼피츠 강아지짖는소리 강아지유튜버 강아지유튜브 더소이 포메 pom 퐁키 루디 강아지미용 포메미용 화이트포메 멍멍이 반려견 펫 PET DOG 강아지애교 강아지훈련 개린이 강아지간식 포메리안 포메라니안 포메라이언 포메리아","https://yt3.googleusercontent.com/OF-FRFAvH9gWmp-GleEd6-6agrqmnWoDK0df7cj0JvBWSqc3aZlMH7TLFNWkTtDNVDAzD5c0bQ","UU3PSZivQbIegrfavj4fmgQQ","846509768","2140000","551","12642443","425331","21977","gold","3.54","19.69","421414","14177","732","1:29","1:575","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/2bac9cce-d6ae-40b5-1706-cb2ac387bc00/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/435a6dd2-0459-4996-df92-3fa0bacf4900/public"
"UCLsj_Re3SxtkbZfX_ypY1eQ","수리노을SuriNoel","수리노을 고양이 가족의 이야기 Story of SuriNoel cat family

노을 : 아빠냥. 2012년 7월생/ 스코티쉬폴드   Noel - Dad , born in 2012.7 , scottish fold
수리 : 엄마냥. 2012년 9월생/스코티쉬 스트레이트  Suri - Mom , born in 2012.9 , scottish straight
라온 : 첫째딸. 2015년 3월생/ 스코티쉬폴드 Raon - First Daughter, born in 2015.3 , scottish fold
이즈 : 둘째아들. 2015년 3월생/ 스코티쉬폴드 Iz - Second Son, born in 2015.3 , scottish fold
소울 : 막내아들. 2015년 3월생/스코티쉬 스트레이트 Soul- Last Son, born in 2015.3 , scottish straight

남집사+여집사+아기집사 총 3명의 집사가 얹혀살고있음.
Male Butler + Female Butler + Baby Butler ,  Total 3 Butlers live off Surinoel cat family.","@surinoel","2010-11-22 04:27:14","https://yt3.ggpht.com/ytc/AGIKgqN9sg6j8ozR0zPo75oi-L_IsHYt9txq3AyV_We-ifI=s88-c-k-c0x00ffffff-no-rj","[46, 51]","scottish fold cat cats kitten ねこ スコティッシュフォールド 고양이 suri noel funny","https://yt3.googleusercontent.com/Eqbpz-X5thH2D9McbFlqUcuREMUSurSWqwY6m20TASoR15uy1_8y9WCOhlVWsIXXe4pSW5iUFQ","UULsj_Re3SxtkbZfX_ypY1eQ","828433373","2130000","1210","3780529","72379","4058","gold","2.02","5.92","126017","2412","135","1:52","1:933","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/a347ae71-ae9b-4470-74e6-26364b16b200/public",""
"UCP1CQH2PVJv4-glNTuVJl3g","밀키복이탄이MilkyBokiTan","▶ 프로필
묘종 : 노르웨이 숲 고양이
이름 : 광복이
성별 : 수컷
생년월일 : 2018.08.15 

▶ 프로필
견종 : 사모예드 
이름 : 밀키
성별 : 수컷
생년월일 : 2018.12.03

▶ 프로필
묘종 : 길고양이(구조묘,코리안 숏헤어) 
이름 : 탄이
성별 : 수컷
생년월일 : 2020년 4월 말 추정

----------------------------------------------------------------

▶ Profile
Name :  Gwang Bok
Type : Norwegian Forest
Sex : male
Birth : 15 Aug 2018

▶ Profile
Name : Milky
Type :  Samoyed
Sex : male
Birth :  3 Dec 2018

▶ Profile
Name : Tan
Type :  Ginger Domestic Shorthair
Sex : male
Birth :  Late April, 2020(estimate)
 
--------------------------------------------

▶Profile
Nombre : Gwang Bok
Tipo : Bosque de Noruega
Sexo : Masculino
Nacimiento : 15. 08 .2018

▶Profile
Nombre : Milky
Tipo : Samoyedo
Sexo : Masculino
Nacimiento : 03. 12. 2018 

▶Profile
Nombre : Tan
Tipo : Gato callejero(rescatado) 
Sexo : Masculino
Nacimiento : Finales de Abril, 2020



Instagram : https://www.instagram.com/milkyboki/

비지니스 문의는 milkybok2@sandbox.co.kr 로 남겨주시면 감사하겠습니다.
소속회사로 전송되기때문에 개인적인 문의는 댓글로 부탁드릴게요^^","@milkybokitan6437","2018-11-30 14:27:58","https://yt3.ggpht.com/zyXNGFCO4xxchNr8TJbk8UTSeBEinbfM3KHhhwxilB8I3O9oIOz2c9BtlGSQmMrMiSxe5pAe9Q=s88-c-k-c0x00ffffff-no-rj","[46, 51]","밀키복이탄이;MilkyBokiTan;강아지;고양이;사모예드;동물;","https://yt3.googleusercontent.com/bE2M5H0bbRUW_umjABAtNVwN0ENh0O3zRV5RGlgArUIeWOaAEmpYHp9dWH5runMT-Jr1OfPG6Q","UUP1CQH2PVJv4-glNTuVJl3g","758151248","2060000","593","10258585","298883","10497","gold","3.02","16.6","341952","9962","349","1:34","1:979","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/ae5b2a74-5fca-4cbf-231e-637a25836900/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/11d01d11-bf2f-48e2-33b4-71eb79142100/public"
"UCij19II32Olbu8_vghmYNCA","슈앤트리 SHU AND TREE","안녕하세요:)

슈와 나무의 평범하지만 특별한 하루하루를 
기록 하고 있는 슈앤트리TV 입니다.

앞으로 슈나무와 함께 행복한 일상
기대해 주세요!

너에게 주는 작은 선물
SHU AND TREE

프로필(profile)

*첫째*

- 이름 : 슈 / SHU   
- 견종 : 미디엄 푸들 / MEDIUM POODLE
- 성별 : 여
- 생일 : 14. 06. 05
- 특징 : 멍청미, 뽀뽀쟁이

*둘째*

- 이름 : 나무 / NAMOO (TREE)   
- 견종 : 파티 푸들 / PARTI POODLE
- 성별 : 남
- 생일 : 17. 03. 04
- 특징 : 깐죽, 공집착","@shuandtree_","2018-07-21 02:56:42","https://yt3.ggpht.com/ytc/AGIKgqPr5FrF0bmS5ZgS8R1chm8tPtJoq5mgkFJSwgbkNA=s88-c-k-c0x00ffffff-no-rj","[46, 51]","강아지 반려견 pet dog puppy","https://yt3.googleusercontent.com/av2E6HSX0glc01dEpgKqdgk3ikfS5sd-Bi_wH2rF3-Gb91rc1nytYFOKrLIpTsb4Oc6BZ6u9","UUij19II32Olbu8_vghmYNCA","447498725","1820000","573","25188440","1135388","8450","gold","4.54","46.13","839614","37846","281","1:22","1:2987","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/1c4fa228-ec13-434d-138c-b46d21438500/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/8d12bad6-0ea9-4f3c-fb17-7505b49c3700/public"
"UCee1MvXr6E8qC_d2WEYTU5g","강형욱의 보듬TV","저희 채널과 함께 강아지 키워봅시다🐶

🐾구독자 사연 접수: https://forms.gle/YNqGE6j3PtWNzKEu9
🐾비즈니스 문의 : bodeum@episodegroup.kr 
🐾인스타그램 : @hunter.kang 

📌 보듬교육 https://www.bodeum.co.kr/
📌 보듬숍 https://ppz.kr/","@bodeumofficial","2016-12-13 05:56:37","https://yt3.ggpht.com/fqO8xV1PmP5bXJEneJ0gyJk010W7t1CW9is-W9arQ-c3muDAq1-ZhA7XNb574sIWpT1q7KnD8w=s88-c-k-c0x00ffffff-no-rj","[46, 51]","보듬 강형욱 반려견 강아지 세상에나쁜개는없다 세나개 개훌륭 개는훌륭하다 ""Korean Dog Trainer"" ""Kang Hyong Wook"" 보듬컴퍼니 보듬교육 ""강형욱 훈련사"" 마미수잔 보듬TV","https://yt3.googleusercontent.com/Nuvq49ZWKEzBgKswUqsqk4IxwrdkhtPlUw7VnyUXzJeeyqLLGOwtvy99Lp8Wv7KfbkG6c9Ckkp0","UUee1MvXr6E8qC_d2WEYTU5g","486552613","1760000","824","45351678","1071990","28104","gold","2.43","85.89","1511722","35733","936","1:42","1:1615","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/47bf4db3-8118-4665-7f2d-61e3ee2afa00/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/a0665d46-73a9-4264-4311-2c6839be0200/public"
"UCkuA_gDjISfGgbdp02BUwyQ","크집사","안냥! 크집사 입니다. 
어쩌다 보니 열 마리 고양이와 함께 살고 있어요. 

처음 채널을 만들고 영상을 찍기 시작했을 땐  
우리 모두의 삶에는 따뜻함으로 가득한 고양이가 필요하다고 생각했어요. 
제가 만든 영상들이, 
저와 우리 야옹이들의 생활을 공유하는 것이 누군가에게는 위로가 될 거라고 믿었습니다. 

그리고 채널을 운영하면서 많은 분들로부터 메세지를 받았어요. 
나의 하루를 있게 하는 영상, 너무나도 고마워요. 라고 

저의 믿음과, 고양이들의 따스함 그리고 여러분이 보내주는 메시지가 
이 채널을 계속할 수 있는 원동력입니다. 

그리고 티티가 신부전 진단을 받고나서
저에겐 또 다른 목표가 생겼어요. 

티티가 보다 행복하게 하루를 보낼 수 있는 방법을 찾자!
티티처럼 아픈 녀석들이 있다면 함께 건강한 하루를 보낼 수 있게 하자! 
그 동안 많은 사람들의 삶에 위로를 보내준 야옹이들을 위해 방법을 찾아보자. 

그리고 여러분의 응원으로 
느리지만 한 걸음씩 앞으로 나아가고 있습니다.","@claire_luvcat","2017-03-23 01:59:54","https://yt3.ggpht.com/Hzxh-NvFjqrZ34knnUfdtqdMbCMuyM-kIaYyPQiwWvkL2jeGbdzL38OUHYys6i0xpdpErBTMFg=s88-c-k-c0x00ffffff-no-rj","[46, 51]","고양이 라디오 루루 라라 디디 코코 모모 티티 츄츄 라이브 크집사 라이브스트리밍 Kittisaurus 키티사우러스 ""tom and jerry"" ""라이브 요리"" ""고양이 돌보기"" ""웃긴 고양이"" 새끼고양이 동물의숲 야옹섬 크집사라디오 야옹섬라디오 키티사우루스 크링크 야옹섬 가필드 ""claire luvcat"" 크언니 슈박샤베트 고양이라이브 행복하다면야옹해 幸せならニャンって鳴こう 야옹로그","https://yt3.googleusercontent.com/yKAqRQUSo6qtTsDhpfckYsOWOpwY4lJmPu6Q2rA5HYZ9_WOEH9z_9xmgIWOjabsu3LFEfP76Yg","UUkuA_gDjISfGgbdp02BUwyQ","367548133","1380000","664","5638142","258955","9948","gold","4.77","13.62","187938","8631","331","1:21","1:567","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/efdcff71-757d-478b-f6c5-bfd41a90c500/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/6d914b25-6928-4076-a81a-d921f2386500/public"
